caste,subcaste,source
Andamanese,"['Chariar', 'Chari', 'Kora', 'Tabo', 'Bo', 'Yere', 'Kede', 'Bea', 'Balawa', 'Bojigiyab', 'Juwai', 'Kol']",gov
Jarawas,[],gov
Nicobarese,[],gov
Onges,[],gov
Sentinelese,[],gov
Shom Pens,[],gov
Andh,[],gov
Bagata,[],gov
Chenchu,['Chenchwar'],gov
Gadabas,[],gov
Goudu,[],gov
Jatapus,[],gov
Kammara,"['Kamara', 'Kamar', 'Kammaro', 'Muli', 'Lohuru', 'Loharo', 'Astolohi Kamar']",gov
Kattunayakan,[],gov
Konda Dhoras,[],gov
Konda Kapus,[],gov
Konda Reddis,[],gov
Kondhs,"['Kodi', 'Kodhu', 'Desaya Kondhs', 'Dongria Kondhs', 'Kuttiya Kondhs', 'Tikiria Kondhs', 'Yenity Kondhs']",gov
Kotia,"['Bentho Oriya', 'Bartika', 'Dhulia', 'Dulia', 'Holva', 'Paiko', 'Putiya', 'Sanrona', 'Sidhopaiko']",gov
Koya,"['Goud', 'Rajah', 'Rasha Koya', 'Lingadhari Koya (ordinary)', 'Kottu Koya', 'Bhine Koya', 'Rajkoya']",gov
Kulia,[],gov
Manna Dhora,[],gov
Mukha Dhora,['Nooka Dhora'],gov
Porja,['Parangiperja'],gov
Reddi Dhoras,[],gov
Rona,['Rena'],gov
Savaras,"['Kapu Savaras', 'Maliya Savaras', 'Khutto Savaras']",gov
Thoti,[],gov
Yenadis,[],gov
Yerukulas,[],gov
Abor,[],gov
Aka,[],gov
Apatani,[],gov
Dafla,[],gov
Galong,[],gov
Khampti,[],gov
Khowa,[],gov
Mishmi,[],gov
Momba,[],gov
Sherdukpen,[],gov
Singpho,[],gov
Barmans,[],gov
Deori,[],gov
Hojai,[],gov
Lalung,[],gov
Mech,[],gov
Miri,[],gov
Bodo,[],gov
Chakma,[],gov
Dimasa,['Kachari'],gov
Garo,"['Garura', 'Gurda', 'Garoda']",gov
Hajong,[],gov
Hmar,[],gov
Khasi,"['Jaintia', 'Synteng', 'Pnar', 'War', 'Bhoi', 'Lyngngam']",gov
Lakher,[],gov
Man,[],gov
Pawi,[],gov
Syntheng,[],gov
Asur,[],gov
Baiga,[],gov
Bathudi,[],gov
Bedia,['Bejia'],gov
Bhumij,['Bumij'],gov
Binjhia,['Binjhoa'],gov
Birhor,[],gov
Birjia,[],gov
Chero,[],gov
Chick Baraik,[],gov
Gorait,['Korait'],gov
Ho,[],gov
Karmali,[],gov
Kharia,['Kharian'],gov
Kisan,[],gov
Kora,[],gov
Munda,"['Munda Lohara', 'Munda Mahalis']",gov
Parhaiya,[],gov
Sauria Paharia,[],gov
Savar,[],gov
Agariya,[],gov
Bhaina,[],gov
Bhattra,[],gov
Bhil Mina,[],gov
Bhunjia,[],gov
Biar,['Biyar'],gov
Binjhwar,[],gov
Birhul,['Birhor'],gov
Damor,['Damaria'],gov
Dhanwar,[],gov
Gadaba,['Gadba'],gov
Kamar,"['Lohar', 'Karmkar', 'Visvakarma']",gov
Karku,[],gov
Kawar,"['Kanwar', 'Kaur', 'Cherwa', 'Rathia', 'Tanwar', 'Chattri']",gov
Khairwar,['Kondar'],gov
Kol,[],gov
Majhi,[],gov
Majhwar,[],gov
Mawasi,[],gov
Nagesia,['Nagasia'],gov
Pao,[],gov
Parja,[],gov
Sahariya,"['Saharia', 'Seharia', 'Sehria', 'Sosia', 'Sor']",gov
Saonta,['Saunta'],gov
Saur,[],gov
Sonr,[],gov
Dhodia,[],gov
Kathodi,"['Katkari', 'Dhor Kathodi', 'Dhor Katkari', 'Son Kathodi', 'Son Katkari']",gov
Kokna,"['Kokni', 'Kukna']",gov
Varli,[],gov
Gawda,[],gov
Velip,[],gov
Bavacha,['Bamcha'],gov
Bharwad,[],gov
Chaudhri,[],gov
Dhanka,"['Tadvi', 'Tetaria', 'Valvi']",gov
Gamit,"['Gamta', 'Gavit', 'Mavchi', 'Padvi']",gov
Padhar,[],gov
Patelia,[],gov
Pomla,[],gov
Rathawa,[],gov
Vaghri,[],gov
Vitola,"['Kotwalia', 'Barodia']",gov
Bhot,['Bodh'],gov
Gaddi,['Ghosi'],gov
Jad,"['Lamba', 'Khampa']",gov
Kanaura,['Kinnara'],gov
Lahaula,[],gov
Pangwala,[],gov
Swangla,[],gov
Bakarwal,[],gov
Balti,[],gov
Beda,['Budga'],gov
Bot,['Boto'],gov
Brokpa,"['Drokpa', 'Dard', 'Shin']",gov
Changpa,[],gov
Garra,[],gov
Mon,[],gov
Purigpa,[],gov
Sippi,[],gov
Pahadi,[],gov
Khond,"['Kond', 'Kandha', 'Nanguli Kandha', 'Sitha Kandha']",gov
Adiyan,[],gov
Gowdalu,[],gov
Hakkipikki,[],gov
Hasalaru,[],gov
Irular,[],gov
Iruliga,[],gov
Jenu Kuruba,[],gov
Kadu Kuruba,[],gov
Koraga,[],gov
Kudiya,['Melakudi'],gov
Kurumans,[],gov
Maha Malasar,[],gov
Malaikudi,[],gov
Malayekandi,[],gov
Maleru,[],gov
Marati,[],gov
Palliyan,[],gov
Paniyan,[],gov
Sholaga,[],gov
Soligaru,[],gov
Toda,[],gov
Yerava,[],gov
Arandan,[],gov
Eravallan,[],gov
Hill Pulaya,[],gov
Irulan,[],gov
Kadar,[],gov
Kanikaran,['Kanikkar'],gov
Kochu Velan,[],gov
Kondareddis,[],gov
Kurichchan,[],gov
Kurumbas,[],gov
Malai Arayan,[],gov
Malai Pandaram,[],gov
Malai Vedan,[],gov
Malakkuravan,[],gov
Malasar,[],gov
Malayan,['Malayar'],gov
Malayarayar,[],gov
Palleyan,[],gov
Palliyar,[],gov
Ulladan,[],gov
Uraly,[],gov
Keer,[],gov
Panika,['Panka'],gov
Malhar Koli,[],gov
Aimol,[],gov
Anal,[],gov
Angami,[],gov
Chiru,[],gov
Chothe,[],gov
Gangte,[],gov
Kabui,[],gov
Kacha Naga,[],gov
Koirao,[],gov
Koireng,[],gov
Kom,[],gov
Lamgang,[],gov
Mao,[],gov
Maram,[],gov
Maring,[],gov
Monsang,[],gov
Moyon,[],gov
Paite,[],gov
Purum,[],gov
Ralte,[],gov
Sema,[],gov
Simte,[],gov
Suhte,[],gov
Tangkhul,[],gov
Thadou,[],gov
Vaiphui,[],gov
Zou,[],gov
Boro Kacharis,[],gov
Koch,[],gov
Mikir,[],gov
Raba,['Rava'],gov
Synteng,[],gov
Tripuri,[],gov
Riang,[],gov
Kuki,[],gov
Naga,[],gov
Bhottada,['Dhotada'],gov
Bhuiya,['Bhuyan'],gov
Bhumia,[],gov
Binjhal,[],gov
Bondo Poraja,[],gov
Dal,[],gov
Desua Bhumij,[],gov
Dharua,[],gov
Didayi,[],gov
Gandia,[],gov
Ghara,[],gov
Holva,[],gov
Jatapu,[],gov
Juang,[],gov
Kandha Gauda,[],gov
Kolha,[],gov
Kondadora,[],gov
Korua,[],gov
Kulis,[],gov
Lodha,[],gov
Madia,[],gov
Mahali,[],gov
Mankidi,[],gov
Mankirdia,[],gov
Matya,[],gov
Mirdhas,[],gov
Mundari,[],gov
Omanatya,[],gov
Parenga,[],gov
Paroja,[],gov
Pentia,[],gov
Rajuar,[],gov
Saora,"['Savar', 'Saura', 'Sahara']",gov
Shabar,['Lodha'],gov
Sounti,[],gov
Tharua,[],gov
Garasia,[],gov
Seharia,"['Sehria', 'Sahariya']",gov
Bhutia,"['Chumbipa', 'Dopthapa', 'Dukpa', 'Kagatey', 'Sherpa', 'Tibetan', 'Tromopa', 'Yolmo']",gov
Anamuk,[],gov
Aray Mala,[],gov
Arundhatiya,[],gov
Arwa Mala,[],gov
Bariki,[],gov
Bavuri,[],gov
Bindla,[],gov
