Caste,subcastes,source
AARAKH,"['MOOTHI', 'ARAKH', 'YADAV', 'AARAKH', 'ARAKVANSHIYA']",MF
ABBASI,"['SAKKA', 'BHISHTI', 'ABBASI']",GOV
ABDAL,['ABDAL'],GOV
ABLAKAROR,['ABLAKAROR'],MF
LOHANA,['LOHANA'],GPT
MODH,['MODH'],GPT
PORWAL,['PORWAL'],GPT
VANIYAR,['VANIYAR'],GPT
VAISHYA VANI,['VAISHYA VANI'],GPT
KHANDELWAL,['KHANDELWAL'],GPT
OSWAL,['OSWAL'],GPT
GUPTA,['GUPTA'],GPT
AGARWAL,['AGARWAL'],GPT
ABOR,['ABOR'],GOV
ACHARI,"['ACHARY', 'KONGU VELLALA', 'ACHAGAR', 'VISHWAKARMA', 'ACHARI', 'OSAMANI', 'ACHARYA', 'PRAJAPATI']",MF
ACHUKADAVANDLUIN,['ACHUKADAVANDLUIN'],GOV
ADI ANDHRA,"['ADI ANDHRA', 'ADIANDRA']",JEEVANSATHI
ADI DHARMI,"['AD-DHARMI', 'SIDHU', 'POWAR', 'CHAMAR', 'JASSAL', 'MEHTO', 'ATAR', 'SANDHU', 'BANGA', 'ADI DHARMI', 'LEEL', 'AD DHARMI', 'RAI', 'BAINS', 'MAHI', 'KAITH', 'THIND', 'ADI-DHARMI', 'CHOKHRIA']",GOV
ADI DRAVIDA,"['.PALLAR', 'UPPARA', 'VALAYAR', 'PALLAR', 'THOMBAR', 'CHALAVADI', 'PORAYA', 'BARBAR', 'SAMABAVAR', 'ARAVDUR', 'HARIJAN', 'PALAR', 'PADAIYACHI', 'MURUTHUAR', 'PANDITAR', 'KURAVAR', 'PARAYAR', 'PATTARAJU', 'ASARI', 'SAKKELIAR', 'VANNAN', 'THACHAR', 'POLLAR', 'KUAVAR', 'ADIDRAVIDA', 'ADI DRAVIDA', 'ATHIDRAVIDA', 'MARUTHAVARI', 'PARAYA', 'NADAR']",MF_SHADI_JEEVANSATHI
ADI KARNATAKA,"['HOLAYA', 'MOCHI', 'GANGEMATA', 'MEDAR', 'MADIGA', 'MUGGUDAVAR', 'KORUR', 'ADIKARNATAKA', 'HOLIYA', 'CHANAIAHNATHA', 'GOWNDAR', 'HOLEYA', 'KORAMA', 'ADI KARNATAKA', 'HALAKI', 'HARIJAN', 'HOLER']",JEEVANSATHI
ADIYAN,"['ADIYA', 'ADIYAN']",GOV
ADRAKHI,['ADRAKHI'],GOV
AGAMUDIYAS,"['THULUVA VELLALA', 'THOZHU', 'SAYUP', 'AGAMUDIYAS', 'AGAMUDAYAR', 'AGAMUDIYAR', 'PILLAI']",GOV
AGANARW,"['KAMARED', 'AGANARW']",MF
AGARIYA,['AGARIYA'],GOV
AGARU,['AGARU'],GOV
AGASA,"['AGA SA', 'DOBI', 'AGASA']",MF
AGER,['AGER'],GOV
AGHARIA,"['AGARIA', 'AGHARIA', 'AGHRIA.']",GOV
AGHORI,"['KARKARMUNDA', 'AGHORI']",GOV
AGNANI,['AGNANI'],GOV
AGNIKULAKSHATRIYA,"['JALARI', 'BESTHA', 'PATTAPU', 'AGNIKULAKSHATRIYA', 'GANGAPUTRA', 'PALLI', 'VANYAKULAKSHATRIYA NEYYALA', 'VADABALIJA', 'NEYYALA', 'GANGAVAR', 'VANYAKULAKSHTRIYA', 'GOONDLA']",GOV
AGRI,"['KHARWAL', 'KALAN', 'AGALE', 'AGRI']",JEEVANSATHI
AGRIA,['AGRIA'],GOV
AGURI,"['ADITYA', 'PHULAKATAMALI', 'BALGORI', 'ANGROR', 'AGURI']",MF
AHERI,"['AHORI', 'NAIK', 'AHERIA', 'HERI', 'AHERI', 'THORI', 'NAIK THORI', 'AHERIYA', 'TURI']",GOV
AHIRGOALA,['AHIRGOALA'],GOV
AHOM,['AHOM'],JEEVANSATHI
AILCEEJ,['AILCEEJ'],MF
AIMOL,['AIMOL'],GOV
AJILA,['AJILA'],GOV
AKA,['AKA'],GOV
ALIA,"['ALIAL', 'ALIA', 'GOPALPURIA']",GOV
ALITKAR,['ALITKAR'],GOV
ALWAR,"['ALWAR', 'AZHAVAR', 'ALAVAR']",GOV
AMANT,"['AMAT', 'AMAAT', 'DANDACHHATRA MAJHI', 'AMANT']",GOV
AMBALAKARAR,"['AMBALAKARAR', 'AMBALAAR', 'AMBALAKKARAN', 'AMBALAKARAN', 'AMBALAM', 'MOOPANAAR']",GOV
AMBALAVASI,"['AMBALAKARMA', 'AMBALAVASI', 'AMBALAKARAN']",JEEVANSATHI
AMBATTAN,['AMBATTAN'],MF
AMBIGA,"['AMBIGAR', 'AMBIGA']",MF
AMMA KODAVA,['AMMA KODAVA'],JEEVANSATHI
AMMALAM,['AMMALAM'],MF
ANAL,['ANAL'],GOV
ANAMUK,['ANAMUK'],GOV
ANDAMANESE,"['YERE', 'KEDE', 'CHARI', 'TABO', 'CHARIAR', 'KOL', 'ANDAMANESE', 'BEA', 'BALAWA', 'BOJIGIYAB', 'KORA', 'BO', 'JUWAI']",GOV
ANDH,['ANDH'],GOV
ANDI,"['ANDIPANDARAM', 'ANDI']",GOV
ANDIPANDARAM,"['ANDIPANDARAM', 'ANDI PANDARAM']",GOV
ANDURAN,['ANDURAN'],GOV
ANGAMI,['ANGAMI'],GOV
ANGLO INDIAN,['ANGLO INDIAN'],JEEVANSATHI
ANVIL BRAHMIN,['ANVIL BRAHMIN'],MF
APATANI,['APATANI'],GOV
ARAIN,"['KUNJRA', 'ARAIN', 'RAYEE']",GOV
ARAK,"['ARAK', 'ARAKVANSHIYA', 'ARAKH']",GOV
ARANDAN,"['ARANDAN', 'ARANEDAN']",GOV
ARAY MALA,"['ARAY MALA', 'ARWA MALA']",GOV
ARAYAR,"['ARAYAN', 'DEVARA', 'ARAYAR', 'NULAYAR']",GOV
ARCHAGAR,['ARCHAGAR'],MF
ARCHAKULU,['ARCHAKULU'],MF
AREKATIKA,"['AREKATIKA', 'KATIKA']",GOV
AREMAHRATI,['AREMAHRATI'],GOV
ARORA,"['PANGHA L', 'GULATI', 'MINOCHA', 'CHHABRA', 'KATHURIYA', 'THAKRAL', 'RAI', 'CHOPRA', 'CHAWALA', 'ARORA', 'KAPOOR', 'SOOD', 'CHUGH', 'KAKAR', 'ANAND', 'NAGPAL', 'BATRA', 'KHATRI']",MF_SHADI_JEEVANSATHI
ARUA,['ARUA'],GOV
ARUNTHATHIYAR,"['ARUNDUDHI', 'CHAKKILIYAN', 'PADAIYACHI', 'AMMA', 'ARUNTHATHIYAR', 'ARUNTHATHI', 'ARUNDHATIYA', 'SAKKELIAR']",JEEVANSATHI
ARYA,['ARYA'],GOV
ARYA MALA,"['ARWA MALA', 'ARYA MALA']",GOV
ARYAKSHATRIYA,"['CHITTARI', 'ARYAKSHATRIYA', 'GINIYAR', 'CHITRAKARA', 'NAKHAS', 'ARYAKASHTRIYA']",GOV
ARYAVATHI,['ARYAVATHI'],GOV
ARYAVYSYA,['ARYAVYSYA'],MF
ASADULU,['ASADULU'],MF
ASARI,"['THACHAASARI', 'PADAIYACHI', 'KAMALAR', 'ASARA', 'PATHAR', 'KOUNDA', 'GOLDSMITH', 'ASARI']",MF
ASHTRALOHI,"['SUNAREE VISWA BRAHMAN SWARNAKAR', 'ASHTALOHI KARMAKAR KAMILA SUNARI', 'SWARANSILPI', 'ASHTRALOHI']",GOV
ASUR,"['ASUR', 'ASHUR']",GOV
ATAGARA,['ATAGARA'],GOV
ATARI,"['ATARI', 'ATHARI']",GOV
ATIRASA,['ATIRASA'],GOV
ATISHBAZ,"['ATISHBAZ', 'DARUGAR']",GOV
ATIT BAYAJI,"['ATIT BAYAJI', 'BAKSHI PANCH']",MF
ATTAR,['ATTAR'],GOV
ATTUR,"['KILNAD', 'ATTUR', 'KORAVAR']",GOV
AUDHELIA,['AUDHELIA'],GOV
AUDHIYA,"['AUDHIYA', 'AUDHELIYA']",GOV
AYEERAVAISIAR,['AYEERAVAISIAR'],GOV
AYYANAVAR,['AYYANAVAR'],GOV
