State,Caste,subcastes,source
ANDHRA PRADESH,ABDUL,['ABDUL'],mf
ANDHRA PRADESH,ACHARI,['ACHARI'],mf
ANDHRA PRADESH,ADIANDRA,['ADIANDRA'],mf
ANDHRA PRADESH,AILCEEJ,['AILCEEJ'],mf
ANDHRA PRADESH,ARCHAKULU,['ARCHAKULU'],mf
ANDHRA PRADESH,ARYAKASHTRIYA,['ARYAKASHTRIYA'],mf
ANDHRA PRADESH,ARYAVYSYA,['ARYAVYSYA'],mf
ANDHRA PRADESH,ASADULU,['ASADULU'],mf
ANDHRA PRADESH,BAARAJU,['BAARAJU'],mf
ANDHRA PRADESH,BAJAKAS,['BAJAKAS'],mf
ANDHRA PRADESH,BALIJA,"['BANDARI', 'CETTIBALIJA', 'CHEEMALA', 'CHINNKAPU', 'DUDEKULA', 'GAZULA', 'KUDARI', 'NAIKA', 'PALAGIRI', 'PERIKI', 'POKANTI', 'SETTI', 'SETTIBALIJA', 'SETTIVARI', 'TELAGA', 'BALIJA']",mf
ANDHRA PRADESH,BARBER,['BARBER'],mf
ANDHRA PRADESH,BESTHA,"['CHEEMALA', 'DASAI', 'JALARI', 'JALARU', 'KUDARI', 'MATESHP', 'NAIKA', 'POKANTI', 'SAYED', 'SELLA', 'VALMIKI', 'YADAV', 'BESTHA']",mf
ANDHRA PRADESH,BONDIL,['BONDIL'],mf
ANDHRA PRADESH,BOTHULA,['BOTHULA'],mf
ANDHRA PRADESH,BOYA,"['ANKE', 'CHEEMALA', 'DERAGULLA', 'DOMMARA', 'DUDEKULA', 'JALLENI', 'JAMAPALA', 'JHAMALA', 'JUTUR', 'KANDI', 'KUDARI', 'NAGIRI', 'NAIDU', 'NAIKA', 'PEDDABOYA', 'PINJARI', 'POKANTI', 'SAYED', 'VADDI', 'VALMIKI', 'YADAV', 'YERRAGOLLA', 'BOYA']",mf
ANDHRA PRADESH,BRAHMAN,"['SIDHANTHI', 'VAIDHIKA', 'BRAHMAN']",mf
ANDHRA PRADESH,BUDABUKKALA,['BUDABUKKALA'],mf
ANDHRA PRADESH,BUKAVA,['BUKAVA'],mf
ANDHRA PRADESH,CAMSULA,['CAMSULA'],mf
ANDHRA PRADESH,CHAKALA,"['BILISHPALLA', 'DHOBI', 'DUDEKULA', 'JALNUL', 'MALLEPULU', 'CHAKALA']",mf
ANDHRA PRADESH,CHAKALI,"['DUDEKULA', 'POKANTI', 'CHAKALI']",mf
ANDHRA PRADESH,CHENCHU,['CHENCHU'],mf
ANDHRA PRADESH,CHRISTIAN,"['MADIGA', 'CHRISTIAN']",mf
ANDHRA PRADESH,DEVARA,['DEVARA'],mf
ANDHRA PRADESH,DHOBI,"['CHAKALA', 'DUDEKULA', 'GUNJE', 'NAIKA', 'POKANTI', 'SHAIK', 'DHOBI']",mf
ANDHRA PRADESH,DOMMARA,"['DOMMARA', 'DUDEKULA']",mf
ANDHRA PRADESH,EDIGA,"['CHAKALA', 'EDIGA']",mf
ANDHRA PRADESH,EKARADORABIDDALU,['EKARADORABIDDALU'],mf
ANDHRA PRADESH,EKILI,"['PALAYAKARLU', 'EKILI']",mf
ANDHRA PRADESH,ELAKULA,['ELAKULA'],mf
ANDHRA PRADESH,ELEMS,['ELEMS'],mf
ANDHRA PRADESH,FISHERS,['FISHERS'],mf
ANDHRA PRADESH,GANDLA,"['SAYED', 'GANDLA']",mf
ANDHRA PRADESH,GANGTREDHU,['GANGTREDHU'],mf
ANDHRA PRADESH,JANGAM,['JANGAM'],mf
ANDHRA PRADESH,KADULU,['KADULU'],mf
ANDHRA PRADESH,KALALI,['KALALI'],mf
ANDHRA PRADESH,KALASALI,['KALASALI'],mf
ANDHRA PRADESH,KALIGULLU,['KALIGULLU'],mf
ANDHRA PRADESH,KAMA,['KAMA'],mf
ANDHRA PRADESH,KAMASALA,"['GUNJE', 'METTU', 'KAMASALA']",mf
ANDHRA PRADESH,KAMMA,"['CHOUDHARY', 'KAMMA']",mf
ANDHRA PRADESH,KAMMARA,"['GUNDAIAH', 'METTUKAMSALI', 'KAMMARA']",mf
ANDHRA PRADESH,KANTLLI,['KANTLLI'],mf
ANDHRA PRADESH,KAPU,"['ADUPOL', 'CHEEMALA', 'CHENDIYA', 'CHINNKAPU', 'DESAI', 'DUDEKULA', 'JALARU', 'JUTAR', 'JUTUR', 'KARNAM', 'KRISHNAM', 'MADIGA', 'MUNNURU', 'NAIKA', 'PADUPOLLU', 'PAGANI', 'PAKANTI', 'PALAGIRI', 'PALLI', 'PASNUR', 'PEDAKAPU', 'POKANTI', 'SAJJANA', 'SHAIK', 'SUNKU', 'TALAPALLI', 'TELAGA', 'TURPUKAPU', 'KAPU']",mf
ANDHRA PRADESH,KAPUVELAMA,"['KAPU', 'MAIPU', 'NAGA', 'NAIDU', 'PADAMASALI', 'SAHUKAR', 'SANKA', 'TALAKA', 'TULASI', 'TUSASI', 'KAPUVELAMA']",mf
ANDHRA PRADESH,KARNAM,['KARNAM'],mf
ANDHRA PRADESH,KAVUNIS,['KAVUNIS'],mf
ANDHRA PRADESH,KAYUNLLU,['KAYUNLLU'],mf
ANDHRA PRADESH,KHAN,"['PATHAN', 'KHAN']",mf
ANDHRA PRADESH,KOLLI,['KOLLI'],mf
ANDHRA PRADESH,KOMATI,['KOMATI'],mf
ANDHRA PRADESH,KOMMARI,"['DUDEKULA', 'KOMMARI']",mf
ANDHRA PRADESH,KOPPALAVELAMA,['KOPPALAVELAMA'],mf
ANDHRA PRADESH,KOPPLAVELAMA,['KOPPLAVELAMA'],mf
ANDHRA PRADESH,KOUDA,['KOUDA'],mf
ANDHRA PRADESH,KOYA,['KOYA'],mf
ANDHRA PRADESH,KUMMARA,"['CHENDIYA', 'GUNDAIAH', 'KUMMARA']",mf
ANDHRA PRADESH,KUPPALAVELAMA,['KUPPALAVELAMA'],mf
ANDHRA PRADESH,KURABA,"['CHENDIYA', 'DUPATI', 'JELLA', 'MALLEPULU', 'KURABA']",mf
ANDHRA PRADESH,MADARLU,['MADARLU'],mf
ANDHRA PRADESH,MADIGA,"['MADIGA', 'RACHAMA', 'SUNGULU']",mf
ANDHRA PRADESH,MADIVILI,['MADIVILI'],mf
ANDHRA PRADESH,MALA,"['DASARI', 'MANGAM', 'SAKI', 'TELAGA', 'VANGAM', 'MALA']",mf
ANDHRA PRADESH,MANDIGA,['MANDIGA'],mf
ANDHRA PRADESH,MANDULA,['MANDULA'],mf
ANDHRA PRADESH,MANGALA,"['KONDA', 'REDDY', 'MANGALA']",mf
ANDHRA PRADESH,MANGALI,['MANGALI'],mf
ANDHRA PRADESH,MARWADI,['MARWADI'],mf
ANDHRA PRADESH,MARYALI,['MARYALI'],mf
ANDHRA PRADESH,MINIRAMANU,['MINIRAMANU'],mf
