Caste,is_caste,type,caste_name
bojigiyab,True,tribe,
local borns,True,tribe,
moplas,True,muslim community,
andamanese,True,tribe,
agnikulakshatriya,True,,
adi-andra,True,,
archakulu,True,,
aryakashtriya,True,,
atirasa,True,,
baaraju,True,,
balasanthu,True,,
barber,True,,
bothula,True,,
bukava,True,,
camsula,True,,
devathilakula,True,,
devara,True,,
dhora,True,,
elakula,True,,
gangaputra,True,,
kalali,True,,
karnam,True,,
katipapala,True,,
kouda,True,,
kuppalavelama,True,,
mandiga,True,,
malajangam,True,,
madivili,True,,
mangala,True,,
mangali,True,,
muthrasi,True,,
mutrasi,True,,
naidu,True,,
nooka dhora,True,,
palikapu,True,,
palle,True,,
setti,True,,
sountia,True,,
telakula,True,,
vanyakulakshtriya,True,,
viswabrahaman,True,,
tea tribes,True,,
malo,True,,
nath,True,,
sudra,True,,
bhathiara,True,,
brahamin,True,,
halwai,True,,
nalband,True,,
dalit,True,,
gauria or gwar,True,,
bansodi,True,,
bhaina,True,,
bhishti,True,,
dafali,True,,
dhuri or dhoori,True,,
goswami,True,,
labhana laban,True,,
monghya,True,,
qureshi,True,,
sangtarash,True,,
naik,True,,
patel,True,,
mirasi,True,,
yogi,True,,
antyaj,True,,
bhatti,True,,
darbar,True,,
dasar,True,,
dedh,True,,
gadhavi,True,,
fakir or faquir,True,,
garoda,True,,
gaur,True,,
gohil,True,,
jadeja,True,,
kadwa,True,,
kalaria,True,,
kotvaliya,True,,
maldhari,True,,
makvana,True,,
momin,True,,
parmar,True,,
patil,True,,
raval,True,,
saha,True,,
samma,True,,
sathawara,True,,
thakarda,True,,
thakur,True,,
tholiya,True,,
vaghela,True,,
vanakar,True,,
vora,True,,
badai,True,,
chhimbe,True,,
jheemar,True,,
mahabrahman,True,,
mahajan,True,,
muslimlohar,True,,
od,True,,
pinja penja,True,,
salmani.,True,,
chang or chahang,True,,
wattal,True,,
ghatwal,True,,
mominansari,True,,
muslimdhobi,True,,
thathera,True,,
patar,True,,
shetty,True,,
adikarnataka,True,,
akkasale,True,,
asthanagolla,True,,
arya kshatriya,True,,
bajania bajenia,True,,
bajantri,True,,
baligar,True,,
bavasar,True,,
bavasarkshatriya,True,,
bhajantri,True,,
budbudki,True,,
budubuduki,True,,
bududki,True,,
chitragar,True,,
chitrakathijoshi,True,,
davar,True,,
dasaru,True,,
devangashetty,True,,
devaramakkalu,True,,
dokkalwar,True,,
dora,True,,
gangakula,True,,
gangemakkalu,True,,
gondhali,True,,
hoovadiga,True,,
iliger,True,,
joshi,True,,
jeeragar,True,,
kambar,True,,
kanjirbhat,True,,
kolimahadev,True,,
kulubar,True,,
kumrar,True,,
kunchavakkal,True,,
madivalashetty,True,,
malagar,True,,
maraya,True,,
nadavar,True,,
nandiwala,True,,
nayanakshathriyyan,True,,
neygi,True,,
samagar,True,,
sillekyathas,True,,
sunagar,True,,
thogataru,True,,
uppaliga,True,,
uppaliyan,True,,
vaddaru,True,,
vddar,True,,
veershiv,True,,
wadeyar,True,,
mukkari,True,,
barbar,True,,
bharathar,True,,
ezhuthachan,True,,
irulan,True,,
kallassari,True,,
kanakkan,True,,
kavudiyaru,True,,
knanaya,True,,
kumbaran,True,,
moopar,True,,
moothan,True,,
mudali,True,,
mudaliya r,True,,
naicker,True,,
navithan,True,,
pandithar,True,,
panickar,True,,
para vannan,True,,
pisharodi,True,,
pushpakan,True,,
sourashtra,True,,
sidhanar,True,,
tharakan,True,,
thiya,True,,
valan,True,,
varriyar,True,,
velan,True,,
veduvar,True,,
bashor,True,,
gond; arakh,True,,
kassab qussab,True,,
bhila la,True,,
mansuri,True,,
bhisti or pakhali,True,,
chhapparband,True,,
gaarudi,True,,
ganali or gandali,True,,
holar,True,,
kadiya,True,,
kasars,True,,
lalbeg,True,,
machimmar,True,,
nagwanshi,True,,
patharvat,True,,
prabhu,True,,
putligar,True,,
sapera,True,,
sekkalgar,True,,
vani,True,,
meitei,True,,
vaiphui,True,,
baisnab,True,,
barna suankar,True,,
chitrasilpi,True,,
dhoba,True,,
dewangulu,True,,
goudus,True,,
kalandi vaishnab,True,,
kandara,True,,
kalingi,True,,
kendara,True,,
kolar,True,,
maladasu,True,,
mirdhas,True,,
or yogi,True,,
patara,True,,
sholagar,True,,
tamadia,True,,
thatari,True,,
devar,True,,
kalavanthula,True,,
pillai,True,,
vettiyan,True,,
aheri,True,,
bharbhooja,True,,
jatsikh,True,,
kabirpanthi,True,,
mehra,True,,
bagri,True,,
bhand,True,,
bhanbhuniya,True,,
bohra,True,,
gadialohar,True,,
gawariya,True,,
jaga,True,,
jingar,True,,
kakhera,True,,
lakhara,True,,
nilgar,True,,
sadh,True,,
samar,True,,
saqqa-bhishti,True,,
saragara,True,,
kurup,True,,
vellala gounder,True,,
ambalaar,True,,
achary,True,,
archagar,True,,
arundudhi,True,,
arunthathi,True,,
athidravida,True,,
ayyar,True,,
curavan,True,,
banniyar,True,,
dube,True,,
kala koravar,True,,
kollar,True,,
kulavar,True,,
lebbai,True,,
mannadi,True,,
moopnar,True,,
muppan,True,,
perumkollar,True,,
sakkaravar or kavathi,True,,
soleya,True,,
valayar,True,,
vettaikkarar,True,,
kurni,True,,
muslim castes,True,,
nagaralu,True,,
vanyakulakshatriya,True,,
veeramushti,True,,
bhisti,True,,
dushad,True,,
kuthaliya bora,True,,
saifi,True,,
saqqa-bhisti,True,,
bora,True,,
barujibi,True,,
hembram,True,,
garai,True,,
kalu,True,,
kolhu,True,,
nembang,True,,
paliya,True,,
paramanik,True,,
quraishi,True,,
rabidas,True,,
shershabadia,True,,
tantubai,True,,
suri,True,,
ugrakshtriya,True,,
