Caste,is_caste,type,caste_name,remarks,is_muslim,location
achari,False,sub_caste,brahmin,,,
bahurupi,False,sub_tribe,bediya,,,
bondil,False,sub_caste,rajput,,,
buragana kalinga,False,sub_caste,kalinga,,,
chakala,False,,,,,
chachati,False,,,,,
chopemari,False,sub_caste,nair,jain,,
chittari,False,sub_caste,khatik,,,
joshinandiwala,False,sub_tribe,nandiwala,,,
kapuvelama,False,,,two diff caste kapu and velama,,
khan,False,,,Muslim,,
krishnabhalija,False,sub_caste,balija,,,
mandula,False,,,it is a surname but used in many caste but no caste found,,
polinativelama,False,sub_caste,velama,,,
pingari,False,,,,,
poosala,False,sub_caste,kapu,,,
sayed,False,,,muslim,,
vaishnavite brahmans,False,sub_caste,brahman,,,
arya mala,False,sub_caste,mala,,,
gulgaliya,False,sub_caste,chamar,,,
mirza,False,,Sunni Muslim," Muslim Rajputs, Mirzakhani",True,
mughal,False,,,It just refers to the peoples of a particular region,True,
parsi,False,,Parsi,,,
nyaria,False,tribe,Sunni Muslim,,True,
puri,False,sub_caste,Khatri,,,
phanka,False,,,Panika / Panka is a caste.,,
sainibrahman,False,sub_caste,Saini,,,
rao jachak,False,sub_caste,Rao,,,
sarbhangi,False,sub_caste,Bhangi,,,
saryan,False,tribe,Saryan,"Also known as Seher, Sair, Sawar, Saor, Sahara",,
sindhi musalman,False,,,,True,
gurung,False,tribe,Gurkha,,,
aryavathi,False,tribe,Dheevara,,,
chavalakarar,False,,Pulaya,,,
dekkani muslim,False,,,,True,
ezhavathy,False,,Ezhava,,,
iyyar,False,,Brahmin,,,
kauvnder,False,,Gounder,"Gavundar, Kaamindan, or Kavundan",,
karunegar,False,,Pillai,,,
koteyar,False,,Kotekshatriya,,,
sainik,False,,Kamboj,,,
turka,False,,Turka,Muslim Banjara,,
vetrilaikarar,False,,Sozhiavellalar,,,
ayyaraka,False,,Naidu,,,
mondibanda,False,,Mondi,,,
baloch,False,,Sunni Muslim,,True,
atishbaz,False,,,,True,
brijbasinat,False,,Nagar,,,
muslimdarji,False,,,,True,
muslimgujar,False,,,,True,
muslimhalwai,False,,,,True,
muslimrajput,False,,,,True,
muslimnai,False,,,,True,
muslimsalmani,False,,,,True,
saiyed,False,,,,True,
tanwar singhariya,False,,Kahar,,,
chowduli,False,,,,True,
bayen,False,,,,,
khotta muslim,False,,,,True,
modak,False,,Halwai,,,
moira,False,,Halwai,,,
muellu,False,,Teli,,,
muslim biswas,False,,,,True,
muslim dafadar,False,,,,True,
muslim haldar,False,,,,True,
muslim laskar,False,,,,True,
muslim nehariya,False,,,,True,
muslim sanpui,False,,,,True,
muslim rajmistri,False,,,,True,
muslim piyada,False,,,,True,
muslim sardar,False,,,,True,
ostagar,False,,,,True,
pahadia muslim,False,,,,True,
tuntubai,False,,Tanti,,,
Kamati Kaman,False,sub_caste,Komati,,,"Karnataka, Maharashtra, Telangana, Odisha, Andhra Pradesh, Tamil Nadu"
Kasbin,False,sub_caste,qassab,muslim,,Central India
Konkani Achar,False,sub_caste,brahman,,,
Korwar,False,sub_caste,munda,,,"Chhattisgarh, Jharkhand, Uttar Pradesh"
Madat,False,sub_caste,lingayat,,,
