Caste,is_caste,type,caste_name,remarks,is_muslim,location
ekili,True,,,,,
ellamalawar,True,,,,,
gangtredhu,True,,,,,
godagula,True,,,,,
kadulu,True,,,,,
kalasali,True,,,,,
kama,True,,,,,
kalinga,True,,,,,
kolli,True,,,,,
kommari,True,,,,,
kopplavelama,True,,,,,
kunapuli,True,,,,,
mannervarlu,True,,,,,
maryali,True,,,,,
mondi,True,,,,,
nagvamsham,True,,,,,
neelakanthi,True,,,,,
nese,True,,,,,
nainera,True,,,,,
pagani,True,,,,,
pala-ekari,True,,,,,
pambanda,True,,,,,
parangiperja,True,,,,,
petti,True,,,,,
ralliya,True,,,,,
pujari,True,,,,,
sakala,True,,,,,
sakli,True,,,,,
salivahana,True,,,,,
sarabandu,True,,,,,
satyam,True,,,,,
salilu,True,,,,,
shadi,True,,,,,
segu,True,,,,,
sheikh,True,,,muslim,,
sheetbarjen,True,,,,,
sidhopaiko,True,,,,,
sindhollu,True,,,,,
telagamamdelu,True,,,,,
teluku,True,,,,,
tentkalu,True,,,,,
togata,True,,,,,
vadi,True,,,,,
vangam,True,,,,,
vedava,True,,,,,
visalu,True,,,,,
visali,True,,,,,
vishnu,True,,,,,
vikanasa,True,,,,,
xasxa,True,,,,,
yalama,True,,,,,
vyyulu,True,,,,,
yeava,True,,,,,
yalavala,True,,,,,
yellu,True,,,,,
barjubi,True,,,,,
jalkeot,True,,,,,
khonyor,True,,,,,
kupadhar,True,,,,,
kushiari,True,,,,,
malpatharia,True,,,,,
sarvera,True,,,,,
syntheng,True,,,,,
faqir,True,,,muslim,,
gund,True,,,,,
hari,True,,,,,
itafarosh,True,,,,,
hussain,True,,,muslim,,
kulhaiya,True,,,,,
mirshikar,True,,,muslim,,
pathan,True,,,muslim,,
pinganiya,True,,,,,
rauttiya,True,,,,,
rana,True,,,,,
rao,True,,,,,
sirkiwal,True,,,,,
tank,True,,,,,
ablakaror,True,,,,,
achagar,True,,,,,
ammalam,True,,,,,
bandaram,True,,,,,
duluvar,True,,,,,
ganagavar,True,,,,,
krishnanvagai,True,,,,,
lappa,True,,,,,
labbari,True,,,,,
lappee,True,,,,,
maidukavara,True,,,,,
lillai,True,,,,,
manyakaran,True,,,,,
mubbanar,True,,,,,
muppar,True,,,,,
mutlakampatti,True,,,,,
nuber,True,,,,,
patthar,True,,,,,
pattamkatti,True,,,,,
pillamer,True,,,,,
rajaliar,True,,,,,
raouther,True,,,,,
rammalar,True,,,,,
rawhar,True,,,,,
savalakkarar,True,,,,,
shawrastra,True,,,,,
seruai,True,,,,,
srisayar,True,,,,,
talayari,True,,,,,
thaysigar,True,,,,,
thondaman,True,,,,,
vadukana ikar,True,,,,,
vallalar,True,,,,,
vanan,True,,,,,
vanar,True,,,,,
villiamudu,True,,,,,
yadavar,True,,,,,
yogeeswarar,True,,,,,
kasikapudi,True,,,,,
mondepatta,True,,,,,
rajannalu,True,,,,,
vamsha raj,True,,,,,
baruijibi,True,,,,,
aarakh,True,,,,,
bayar,True,,,,,
bhurji,True,,,,,
khandu,True,,,,,
singhariya,True,,,,,
rogangar,True,,,,,
ranwalta,True,,,,,
bungchheng,True,,Bungchheng Sukli,,,
chutor,True,,,,,
dulia,True,,,,,
gandharahik,True,,,,,
kamlu,True,,,,,
koronga,True,,,,,
kotal,True,,,,,
mandi,True,,,,,
mete,True,,,,,
mudi,True,,,,,
mayra,True,,,,,
muniya,True,,,,,
patni,True,,,,,
sarbjar,True,,,,,
sardar,True,,,,,
sarnakar,True,,,,,
satchasi,True,,,,,
suphra,True,,,,,
tomar,True,,,,,
varmakar,True,,,,,
Kanabar,True,,,,,
Kalayiri Koleri,True,,,,,"Jammu, Himachal Pradesh, Gujarat, Maharashtra"
Karkarmunda,True,,,,,"Jharkhand, Odisha, West Bengal, Assam, Chhattisgarh"
Kashaty,True,,,jain,,"Uttar Pradesh, Bihar, Madhya Pradesh, West Bengal"
Katabu Katabar,True,,,,,Karnataka
Kelkari Khelkari,True,,,,,Karnataka
Kepmaris,True,,,,,Tamil Nadu
Kisrubar,True,,,,,
Konkani,True,sub_caste,brahman,,,"Goa, Karnataka, Maharashtra, Kerala, Gujarat"
Korawar,True,,,,,"Tamil Nadu, Andhra Pradesh, Karnataka, Maharashtra, Kerala"
Korma,True,,,,,Karnataka
Kristan,True,,,christian,,All over India
Kumara Panth,True,,,,,Karnataka
Maatauppar,True,,,,,Manipur
Kurushinasetty,True,,,,,Karnataka
Madduala,True,,,,,"Andhra Pradesh, Telangana, Karnataka"
Madevashashetty,True,,,,,
Malgar,True,,,,,"Maharashtra, Madhya Pradesh, Chhattisgarh"
Marahovi,True,,,,,Rajasthan
Maleyali,True,,,,,Tamil Nadu
Marivala,True,,,,,
Malayekandi,True,,,,,Kerala
Naikamakkalu,True,,,,,Karnataka
Nalabund,True,,,,,
Nalakeyava,True,,,,,Karnataka
Namdari,True,,,,,Karnataka
Nayanaja Kshatri,True,,,,,Karnataka
Nayanakbhirya,True,,,,,
Nayankshatriya,True,,,,,"Haryana, Punjab, Odisha, Rajasthan, West Bengal"
Naynakishthraja,True,,,,,
Palegara,True,,,,,"Tamil Nadu, Karnataka, Andhra Pradesh"
Panasa Pansa,True,,,,,Telugu-speaking regions
Pinjar,True,,,,,"Maharashtra, Gujarat, Rajasthan, Madhya Pradesh"
Roman,True,,,christian,,India
Romancatholik,True,,,christian,,India
Sadhu Setty,True,,,,,"Andhra Pradesh, Karnataka, Tamil Nadu, Telangana"
Salaparu,True,,,,,"North India, Punjab, Madhya Pradesh"
Samdigya,True,,,,,
Sattadaval,True,,,,,Karnataka
Siddri,True,,,,,"Gujarat, Karnataka, Maharashtra"
Sudigadusiddha,True,,,,,Karnataka
Sirian,True,,christian,,,Kerala
Sugandhi Lad,True,sub_caste,Lad,,,Karnataka
Sunni,True,,,,,All over India
Swamyagol,True,,,,,
Swnagar,True,,,,,"Madhya Pradesh, Uttar Pradesh"
Tamilu,True,,,,,
Uddar,True,,,jain,,Tamil Nadu
Vitolia,True,,,,,
Walikar,True,,,,,Karnataka
Yakalara,True,,,,,"Andhra Pradesh, Tamil Nadu, Karnataka"
Yishas,True,,,,,
Yelegar,True,,,,,
Aentelur,True,,,christian,,
Arayan,True,,,,,Kerala
Anglo Indian,True,,,,,India
Chavalakkaran,True,,,,,Kerala
Dweepara,True,,,,,
Ezhavathi,True,,,,,Kerala
Jacobite,True,,,christian,,Kerala
Mappilla,True,,,muslim,,Kerala
Mapthan,True,,,,,
Marthoma,True,,,christian,,Kerala
Noprthaona,True,,,,,India
Orthodox,True,,,christian,,India
Palaya,True,,,,,"Tamil Nadu, Kerala"
Pandithattan,True,,,,,
Pangaram,True,,,,,"Tamil Nadu, Kerala"
Pentacostal,True,,,,,Kerala
Perkunna,True,,,,,Haryana
Piniyar,True,,,,,"Kerala, Karnataka, Tamil Nadu"
Poojari,True,,,,,"Karnataka, Kerala"
Rakithar,True,,,,,
Ranther,True,,,,,
Saraswat Non-Brahman,True,,,,,"Goa, Kerala"
Routher,True,,,muslim,,"Tamil Nadu, Kerala"
Syrian,True,,,christian,,Kerala
tholkolan,True,,,,,
vanican,True,,,,,
varduka,True,,,,,
muthunarayana,True,,,,,
vilkurup,True,,,,,
vishavan,True,,,,,
yrakither,True,,,,,
bharud,True,,,,,
bhujwa,True,,,,,
kolwar,True,,,,,
dosandhi,True,,,,,
maithare,True,,,,,
kud,True,,,,,
makrani,True,,,muslim,,
mankar,True,,,,,
khati,True,,,,,
niyargar-multani niyaria,True,,,muslim,,
pathari saroti,True,,,,,
savarkar,True,,,,,
takankar,True,,,,,
tamar,True,,,,,
audheliya,True,,,,,
balasantu,True,,,,,
anamuk,True,,,,,
van,True,,,,,
bharadi balasantoshi,True,,,,,
bhavaiya targala,True,,,,,
bhope,True,,,,,
buddha,True,,,,,
chandalgada,True,,,,,
dagadphodu,True,,,,,
fakir bhandarwala,True,,,muslim,,
futgudi,True,,,,,
gochaki,True,,,,,
garpagri,True,,,,,
gopal,True,,,,,
govind,True,,,,,
hanber,True,,,,,
helve hilav,True,,,,,
kathar,True,,,,,
kasikapadi,True,,,,,
katabu,True,,,,,
khatawali,True,,,,,
kongadi,True,,,,,
laddaf,True,,,muslim,,
kurhinshetty,True,,,,,
kunkuwale,True,,,,,
lari,True,,,muslim,,
mairal dangat,True,,,,,
mulane,True,,,,,
mavi,True,,,,,
manne,True,,,,,
munnarwad,True,,,,,
muslim gawli,True,,,muslim,,
navliga,True,,,,,
nethura,True,,,,,
nirshikari,True,,,,,
otkari,True,,,,,
paik,True,,,,,
phudgi,True,,,,,
pradhan,True,,,,,
rachevar,True,,,,,
satsale,True,,,,,
shikaghar,True,,,,,
wadhi,True,,,,,
wami,True,,,,,
kouriya,True,,,muslim,,
alial,True,,,,,
ashwini patara,True,,,,,
gandhila,True,caste,,,,
burar or berar,True,tribe,,,,
dhangri or siggi,True,caste,,,,
marija or marecha,True,caste,Mehra or Mahar,,,
pherera,True,caste,,,,
rechband,True,caste,,,,
shorgir,True,caste,,,,
singhikant,True,caste,,,,
singhikar,True,caste,,,,
singhiwala,True,caste,,,,
singiwala,True,caste,,,,
sirkiband,True,caste,,,,
koskati,True,caste,,,,
audhelia,True,caste,,,,
rajgir,True,caste,,,,
badhbhuja,True,caste,,,,
bargunda,True,caste,,,,
bhanumati,True,caste,,,,
biar,True,caste,,,,
birhul,True,tribe,Mundani,,,
brhaman,True,caste,Brahmin,,,
gandha,True,caste,,,,
harijan,True,caste,,,,
karara,True,caste,,,,
koshtha,True,caste,,,,
kutwar kotwal,True,caste,,,,
mangia,True,caste,,,,
niyargar-multani,True,caste,,,,
quasab,True,caste,,,,
sabiriya,True,caste,,,,
salewar jendra,True,caste,,,,
sindhi,True,tribe,,,,
takankar,True,tribe,,,,
arakvanshiya,True,caste,,,,
fakir,True,caste,,,,
gharrami,True,caste,,,,
kachhandha,True,caste,,,,
khatgune,True,caste,,,,
naribut,True,caste,,,,
pakhiwara,True,caste,,,,
blacksmith,True,caste,,,,
vaishnav,True,caste,,,,
aaribharatbhara,True,caste,,,,
advichincher,True,tribe,,,,
bajaniya,True,tribe,,,,
