Caste1,Caste2,Score
AGAMUDAIYAR,AGAMUDAYAAR,2
AGAMUDAYA,AGAMUDAYAAR,2
AGAMUDAYAR,AGAMUDAYAAR,1
AGAMUDIYAR,AGAMUDAYAAR,2
AKAMUDAYAR,AGAMUDAYAAR,2
AGAMUDAYAR,AGAMUDAYAAR,1
ARYAVYSA,ARYA VYSYA,2
ARYAVYSYA,ARYA VYSYA,1
ARYAVYSYA,ARYA VYSYA,1
BAGLA,BANGLA,1
BAGULA,BANGLA,2
BAGWA,BANGLA,2
BAIGA,BANGLA,2
BANDA,BANGLA,2
BANGA,BANGLA,1
BANGALI,BANGLA,2
BANGAR,BANGLA,2
BANGI,BANGLA,2
BANIA,BANGLA,2
BANIYA,BANGLA,2
BANNA,BANGLA,2
BANNSA,BANGLA,2
BARELA,BANGLA,2
BINDLA,BANGLA,2
DANGUA,BANGLA,2
GANDLA,BANGLA,2
JANGALA,BANGLA,2
JANGDA,BANGLA,2
LANGHA,BANGLA,2
MANGALA,BANGLA,2
MANGELA,BANGLA,2
MANGIA,BANGLA,2
RANGWA,BANGLA,2
SINGLA,BANGLA,2
SWANGLA,BANGLA,2
TANLA,BANGLA,2
BINDLA,BANGLA,2
GANDLA,BANGLA,2
BAIGA,BANGLA,2
BANIYA,BANGLA,2
RANGWA,BANGLA,2
BANGALI,BANGLA,2
MANGELA,BANGLA,2
BANNSA,BANGLA,2
SWANGLA,BANGLA,2
BANGI,BANGLA,2
BANNA,BANGLA,2
JANGALA,BANGLA,2
DANGUA,BANGLA,2
TANLA,BANGLA,2
ANAL,ANAVIL,2
NAVI,ANAVIL,2
NAVI,ANAVIL,2
ANAL,ANAVIL,2
GAREWAL,GARHWALI,2
GAWALI,GARHWALI,2
GUJARA,GUJARATI,2
GUJARA,GUJARATI,2
BRAHAMIN,BRAHMIN ,2
BRAHMAN,BRAHMIN ,2
BRAHMIN,BRAHMIN ,1
BRAHMAN,BRAHMIN ,2
BRAHMIN,BRAHMIN ,1
KUMMARI,KUMOANI,2
MASTHI,MAITHIL,2
MASTHI,MAITHIL,2
KARTHA,SMARTHA,2
MARATHA,SMARTHA,2
MARTA,SMARTHA,2
MATHA,SMARTHA,2
SAMANTHA,SMARTHA,2
SAMARTA,SMARTHA,2
SARTHI,SMARTHA,2
SATHA,SMARTHA,2
MARATHA,SMARTHA,2
MARTA,SMARTHA,2
BAMAN,BRAMHAN,2
BAPHAN,BRAMHAN,2
BRAHAI,BRAMHAN,2
BRAHMAN,BRAMHAN,2
BRHAMAN,BRAMHAN,2
PRADHAN,BRAMHAN,2
BRAHMAN,BRAMHAN,2
PRADHAN,BRAMHAN,2
BAPHAN,BRAMHAN,2
BAMAN,BRAMHAN,2
CPM,CMS,2
DAS,CMS,2
ME,CMS,2
DAS,CMS,2
ME,CMS,2
ALI,CSI,2
BOI,CSI,2
CHIK,CSI,2
CPM,CSI,2
ESAI,CSI,2
HASI,CSI,2
HESI,CSI,2
ISAI,CSI,2
NAI,CSI,2
PASI,CSI,2
RAI,CSI,2
SAI,CSI,2
SOI,CSI,2
SRI,CSI,2
PASI,CSI,2
NAI,CSI,2
SOI,CSI,2
HESI,CSI,2
CHIK,CSI,2
RAI,CSI,2
KNANAYA,KANANAYA,1
KNANAYA,KANANAYA,1
ATIT,LATIN,2
JAIN,LATIN,2
JATIA,LATIN,2
KATIA,LATIN,2
KATIK,LATIN,2
LABAN,LATIN,2
LADIA,LATIN,2
LAMAN,LATIN,2
LARI,LATIN,2
LARIA,LATIN,2
LATE,LATIN,2
NAIN,LATIN,2
PATIL,LATIN,2
SAIN,LATIN,2
SATIA,LATIN,2
TATI,LATIN,2
TATIN,LATIN,1
KATIA,LATIN,2
JAIN,LATIN,2
PATIL,LATIN,2
LATE,LATIN,2
LADIA,LATIN,2
LAMAN,LATIN,2
LABAN,LATIN,2
MALAKAR,MALANKARA,2
MALAKAR,MALANKARA,2
TOORI,COORGI,2
BALAJI,DARAJI,2
BARAGI,DARAJI,2
BARAI,DARAJI,2
BARIJI,DARAJI,2
BAVAJI,DARAJI,2
BAWAJI,DARAJI,2
BRAJI,DARAJI,2
DAFALI,DARAJI,2
DAMAI,DARAJI,2
DAMAMI,DARAJI,2
DARAGA,DARAJI,2
DARAI,DARAJI,1
DARAIN,DARAJI,2
DARATIA,DARAJI,2
DARJ,DARAJI,2
DARJE,DARAJI,2
DARJI,DARAJI,1
DAROI,DARAJI,2
DARPI,DARAJI,2
DARYAI,DARAJI,2
DARZI,DARAJI,2
DASAI,DARAJI,2
DASARI,DARAJI,2
DAVARI,DARAJI,2
GARADI,DARAJI,2
GARAI,DARAJI,2
HARALI,DARAJI,2
KARANI,DARAJI,2
MARATI,DARAJI,2
DASARI,DARAJI,2
BARAI,DARAJI,2
DAFALI,DARAJI,2
DARAIN,DARAJI,2
DARJI,DARAJI,1
BAVAJI,DARAJI,2
BAWAJI,DARAJI,2
BARAGI,DARAJI,2
DARZI,DARAJI,2
MARATI,DARAJI,2
DAVARI,DARAJI,2
BARIJI,DARAJI,2
BRAJI,DARAJI,2
DAMAMI,DARAJI,2
GARAI,DARAJI,2
KARANI,DARAJI,2
EZHUTHACHAN,EZHUTHASSAN,2
EZHUTHACHAN,EZHUTHASSAN,2
GOLDSMITH,GOLD SMITH,1
IYANGAR,IYENGAR,1
MYANGAR,IYENGAR,2
SENGAR,IYENGAR,2
SWETAMBAR,SWETAMBER,1
MALAYAMAN,MALAYALAM,2
BANWARI,MARWARI,2
BARWAR,MARWARI,2
GAWARI,MARWARI,2
HAWARI,MARWARI,2
JAWARI,MARWARI,2
KORWARI,MARWARI,2
MADARI,MARWARI,2
MAJWAR,MARWARI,2
MANJARI,MARWARI,2
MARAR,MARWARI,2
MARATI,MARWARI,2
MARVADI,MARWARI,2
MARWADI,MARWARI,1
MARYALI,MARWARI,2
MAURIARI,MARWARI,2
MAWASI,MARWARI,2
MURRARI,MARWARI,2
PANWARI,MARWARI,2
MARWADI,MARWARI,1
MARYALI,MARWARI,2
MADARI,MARWARI,2
MAJWAR,MARWARI,2
BARWAR,MARWARI,2
MARAR,MARWARI,2
MAWASI,MARWARI,2
MAURIARI,MARWARI,2
MURRARI,MARWARI,2
MARATI,MARWARI,2
BANWARI,MARWARI,2
HAWARI,MARWARI,2
BAROT,ARCOT,2
RAOT,ARCOT,2
RAOT,ARCOT,2
SANGUNTHAN,SENGUNTHA,2
SENGUNDHAR,SENGUNTHA,2
SENGUNTHAR,SENGUNTHA,1
SENGUNTHAR,SENGUNTHA,1
MUKKULATHOR,MUKULATHUR,2
MUKKULATHOR,MUKULATHUR,2
MUTHIRAYAR,MUTHARAIYAR,2
MUTHIRIYAR,MUTHARAIYAR,2
MUTHIRAYAR,MUTHARAIYAR,2
AMBIGAR,NAMBIAR,2
KAMBAR,NAMBIAR,2
NAMBIYAR,NAMBIAR,1
NAMKAR,NAMBIAR,2
NATIAR,NAMBIAR,2
NATIAR,NAMBIAR,2
KAMBAR,NAMBIAR,2
PENTACOSTAL,PENTACOST,2
PENTACOSTAL,PENTACOST,2
PINJARI,PUNJABI,2
PUJARI,PUNJABI,2
PUJARI,PUNJABI,2
RAGHUWANSI,RAGHUWANSHI,1
AHIR,SHIA,2
ALIA,SHIA,2
BHIL,SHIA,2
