Caste,subcastes
AARAKH,"['MOOTHI', 'YADAV', 'AARAKH', 'ARAKVANSHIYA', 'ARAKH']"
ABBASI,"['ABBASI', 'BHISHTI', 'SAKKA']"
ABDAL,['ABDAL']
ABDUL,['ABDUL']
ABLAKAROR,['ABLAKAROR']
ABOR,['ABOR']
ACHARI,"['ACHARI', 'VISHWAKARMA', 'ACHARY', 'OSAMANI', 'KONGU VELLALA', 'ACHARYA', 'PRAJAPATI', 'ACHAGAR']"
ACHUKADAVANDLUIN,['ACHUKADAVANDLUIN']
ADI ANDHRA,"['ADIANDRA', 'ADI ANDHRA']"
ADI DHARMI,"['AD DHARMI', 'JASSAL', 'BANGA', 'LEEL', 'SANDHU', 'CHAMAR', 'KAITH', 'ADI-DHARMI', 'AD-DHARMI', 'THIND', 'SIDHU', 'MEHTO', 'MAHI', 'ADI DHARMI', 'CHOKHRIA', 'BAINS', 'RAI', 'ATAR', 'POWAR']"
ADI DRAVIDA,"['UPPARA', 'PARAYAR', 'SAMABAVAR', 'VANNAN', 'THACHAR', 'THOMBAR', 'PANDITAR', 'PARAYA', 'ARAVDUR', 'PALLAR', 'HARIJAN', 'PATTARAJU', 'CHALAVADI', 'SAKKELIAR', 'MURUTHUAR', 'KURAVAR', 'KUAVAR', 'VALAYAR', '.PALLAR', 'POLLAR', 'NADAR', 'ASARI', 'MARUTHAVARI', 'ADI DRAVIDA', 'PORAYA', 'PALAR', 'ADIDRAVIDA', 'BARBAR', 'ATHIDRAVIDA', 'PADAIYACHI']"
ADI KARNATAKA,"['HALAKI', 'MADIGA', 'HARIJAN', 'CHANAIAHNATHA', 'HOLAYA', 'GANGEMATA', 'KORAMA', 'HOLER', 'HOLEYA', 'MOCHI', 'ADIKARNATAKA', 'ADI KARNATAKA', 'MEDAR', 'HOLIYA', 'GOWNDAR', 'MUGGUDAVAR', 'KORUR']"
ADIWASI,"['BHENIL', 'GOND', 'DHIMAR', 'BINJHWAR', 'KANWAR', 'BHILALA', 'SIDAR', 'BHEND', 'HANDSA', 'HEMRAM', 'KHAN', 'BHENA', 'NAGARCHI', 'DHANWAR', 'GOARI', 'MARANDI', 'ADIWASI', 'SARTHI']"
ADIYAN,"['ADIYAN', 'ADIYA']"
ADRAKHI,['ADRAKHI']
AENTELUR,"['ROMAN CATHOLIC', 'AENTELUR']"
AGAMUDIYAS,"['THOZHU', 'PILLAI', 'THULUVA VELLALA', 'AGAMUDAYAR', 'SAYUP', 'AGAMUDIYAS', 'AGAMUDIYAR']"
AGANARW,"['AGANARW', 'KAMARED']"
AGARIYA,['AGARIYA']
AGARU,['AGARU']
AGASA,"['AGA SA', 'AGASA', 'DOBI']"
AGER,['AGER']
AGHARIA,"['AGHARIA', 'AGARIA', 'AGHRIA.']"
AGHORI,"['KARKARMUNDA', 'AGHORI']"
AGNANI,['AGNANI']
AGNIKULAKSHATRIYA,"['GOONDLA', 'NEYYALA', 'GANGAPUTRA', 'VADABALIJA', 'JALARI', 'VANYAKULAKSHATRIYA NEYYALA', 'GANGAVAR', 'VANYAKULAKSHTRIYA', 'BESTHA', 'PATTAPU', 'PALLI', 'AGNIKULAKSHATRIYA']"
AGRI,"['KHARWAL', 'KALAN', 'AGRI', 'AGALE']"
AGRIA,['AGRIA']
AGURI,"['ADITYA', 'ANGROR', 'PHULAKATAMALI', 'BALGORI', 'AGURI']"
AHERI,"['THORI', 'HERI', 'AHERIYA', 'AHORI', 'NAIK THORI', 'NAIK', 'AHERI', 'AHERIA', 'TURI']"
AHIR,"['BARGAH', 'THETHWAR', 'AYAR', 'LALHARIA', 'GAWALI', 'RAO', 'TURI', 'BRAJWASI', 'TELI', 'RAWAT', 'BAGDE', 'SHAH', 'LINGAYAT-GAOLI', 'RAUT', 'GURJAR', 'BERICHA', 'GOP', 'GWARA JADAV', 'GAWARI', 'SONWANI', 'BHARVAD', 'YADAV', 'KUMAWAT', 'AHIR', 'KHANNA', 'ASKE', 'WANJARE', 'NAGARCHI', 'GOPAL', 'SISODIA', 'NARNAVRE', 'GOWRA', 'GOLI', 'RATHORE', 'SAHU', 'BARGAHI', 'JAMRE', 'GWARA', 'JADAV', 'RAI', 'SORATHA', 'GAWLI', 'GWALA', 'RAUT THETHWAR', 'PALIWAL', 'GOWARI']"
AHIRGOALA,['AHIRGOALA']
AHOM,['AHOM']
AILCEEJ,['AILCEEJ']
AIMOL,['AIMOL']
AJILA,['AJILA']
AKA,['AKA']
ALIA,"['GOPALPURIA', 'ALIAL', 'ALIA']"
ALITKAR,['ALITKAR']
ALWAR,"['ALWAR', 'AZHAVAR', 'ALAVAR']"
AMANT,"['AMAT', 'AMAAT', 'DANDACHHATRA MAJHI', 'AMANT']"
AMBALAKARAR,"['AMBALAKARAN', 'AMBALAKARAR', 'MOOPANAAR', 'AMBALAM', 'AMBALAAR', 'AMBALAKKARAN']"
AMBALAVASI,"['AMBALAKARAN', 'AMBALAVASI', 'AMBALAKARMA']"
AMBATTAN,['AMBATTAN']
AMBIGA,"['AMBIGAR', 'AMBIGA']"
AMMA KODAVA,['AMMA KODAVA']
AMMALAM,['AMMALAM']
ANAL,['ANAL']
ANAMUK,['ANAMUK']
ANDAMANESE,"['BEA', 'BALAWA', 'TABO', 'JUWAI', 'BO', 'KEDE', 'YERE', 'CHARIAR', 'BOJIGIYAB', 'KORA', 'ANDAMANESE', 'KOL', 'CHARI']"
ANDH,['ANDH']
ANDI,"['ANDIPANDARAM', 'ANDI']"
ANDIPANDARAM,"['ANDIPANDARAM', 'ANDI PANDARAM']"
ANDURAN,['ANDURAN']
ANGAMI,['ANGAMI']
ANGLO INDIAN,['ANGLO INDIAN']
ANSARI,['ANSARI']
ANVIL BRAHMIN,['ANVIL BRAHMIN']
APATANI,['APATANI']
ARAB,['ARAB']
ARAIN,"['KUNJRA', 'RAYEE', 'ARAIN']"
ARAK,"['ARAKVANSHIYA', 'ARAKH', 'ARAK']"
ARANDAN,"['ARANEDAN', 'ARANDAN']"
ARAY MALA,"['ARWA MALA', 'ARAY MALA']"
