relegion,caste
Hindu,Ad Dharmi
Hindu,Adi Andhra
Hindu,Adi Dravida
Hindu,Adi Karnataka
Hindu,Agamudayar
Hindu,Agri
Hindu,Ahir
Hindu,Ahir-Ahir shimpi
Hindu,Ahirwar
Hindu,Ahom
Hindu,Ambalavasi
Hindu,Ambalavasi-Pisharody
Hindu,Ambalavasi-Poduval
Hindu,Amma Kodava
Hindu,Arakh Arakvanshiya
Hindu,Arekatica
Hindu,Arunthathiyar
Hindu,Arya Vysya
Hindu,Ayyaraka
Hindu,Badaga
Hindu,Badhai
Hindu,Bagdi
Hindu,Baghel Gaderiya
Hindu,Bahi
Hindu,Baidya
Hindu,Bairwa
Hindu,Baishnab
Hindu,Baishya
Hindu,Baishya-Saha
Hindu,Baishya Kapali
Hindu,Bajantri
Hindu,Balai
Hindu,Balija
Hindu,Balija-Balija Naidu
Hindu,Balija-Balija Reddy
Hindu,Balija-Ediga /Goud (Balija)
Hindu,Balija-Gajula / Kavarai
Hindu,Balija-Kapu
Hindu,Balija-Kavara
Hindu,Balija-Linga Balija
Hindu,Balija-Modikarlu
Hindu,Balija-Munnuru Kapu
Hindu,Balija-Musukama
Hindu,Balija-Namdarlu
Hindu,Balija-Pagadala
Hindu,Balija-Perika
Hindu,Balija-Setti Balija
Hindu,Balija-Surya Balija
Hindu,Balija-Telaga
Hindu,Balija-Thota
Hindu,Balija-Vada Balija
Hindu,Balija-Velama
Hindu,Balija-Waada Balija
Hindu,Balija Naidu
Hindu,Balija Naidu-Balija Naidu
Hindu,Balija Naidu-Balija Reddy
Hindu,Balija Naidu-Setti Balija
Hindu,Balija Naidu-Surya Balija
Hindu,Balija Naidu-Vada Balija
Hindu,Balija Naidu-Waada Balija
Hindu,Banayat Oriya
Hindu,Bania
Hindu,Bania-Agarwal
Hindu,Bania-Agrahari
Hindu,Bania-Asathi
Hindu,Bania-Ayodhyavasi
Hindu,Bania-Baniya Kumuti
Hindu,Bania-Barnwals
Hindu,Bania-Bisa Agarwal
Hindu,Bania-Chaturth
Hindu,Bania-Choudharys
Hindu,Bania-Dosar / Dusra
Hindu,Bania-Gahoi
Hindu,Bania-Gandha Vanika
Hindu,Bania-Gulahre
Hindu,Bania-Jaiswal
Hindu,Bania-Kalwar
Hindu,Bania-Kandu / Kanu
Hindu,Bania-Kanojia Kanu
Hindu,Bania-Kanykubj Bania
Hindu,Bania-Kasaundhan
Hindu,Bania-Keshris / Kesarwani
Hindu,Bania-Khandelwal
Hindu,Bania-Komti Arya Vaishya
Hindu,Bania-Lad
Hindu,Bania-Madhesiya / Kawa / Halwai
Hindu,Bania-Mahajan
Hindu,Bania-Mahawar
Hindu,Bania-Maheshwari/Meshri
Hindu,Bania-Mahor
Hindu,Bania-Mahuri
Hindu,Bania-Marwari
Hindu,Bania-Modh Ghanchi
Hindu,Bania-Modi
Hindu,Bania-Nema
Hindu,Bania-Oswal
Hindu,Bania-Padmavati Porwal
Hindu,Bania-Patwa
Hindu,Bania-Porwal / Porwar
Hindu,Bania-Rastogi
Hindu,Bania-Rathi
Hindu,Bania-Rauniars
Hindu,Bania-Rauniyar
Hindu,Bania-Shaw / Sahu / Teli
Hindu,Bania-Sinduriya
Hindu,Bania-Sudi / Suri / Sundhi / Shaundik
Hindu,Bania-Ummar / Umre / Bagaria
Hindu,Bania-Vaishnav
Hindu,Bania-Vani/Vaishya
Hindu,Bania-Varshneys
Hindu,Bania-Vijayvargia
Hindu,Banik
Hindu,Banjara
Hindu,Banjara-Lambani
Hindu,Barai
Hindu,Bari
Hindu,Baria
Hindu,Beldar
Hindu,Besta
Hindu,Bhajantri
Hindu,Bhatia
Hindu,Bhatraju
Hindu,Bhavsar
Hindu,Bhil
Hindu,Bhovi / Bhoi
Hindu,Bhoyar
Hindu,Bhulia / Meher
Hindu,Billava
Hindu,Bishnoi / Vishnoi
Hindu,Bondili
Hindu,Boyer
Hindu,Brahmakshatriya
Hindu,Brahmbatt
Hindu,Brahmin
Hindu,Brahmin-6000 Niyogi
Hindu,Brahmin-Anavil
Hindu,Brahmin-Andhra
Hindu,Brahmin-Audichya
Hindu,Brahmin-Audichyasahastra
Hindu,Brahmin-Bajkhedwal
Hindu,Brahmin-Bardai
Hindu,Brahmin-Barendra
Hindu,Brahmin-Bengali
Hindu,Brahmin-Bhargava
Hindu,Brahmin-Bhatt
Hindu,Brahmin-Bhumihar
Hindu,Brahmin-Brahacharanam
Hindu,Brahmin-BrahmBhatt
Hindu,Brahmin-Brajastha Maithil
Hindu,Brahmin-Chittpavan Kokanastha
Hindu,Brahmin-Dadhich
Hindu,Brahmin-Daivadnya
Hindu,Brahmin-Danua
Hindu,Brahmin-Deshastha
Hindu,Brahmin-Devrukhe
