Caste,Subcastes,source
ADIWASI (Muslim),KHAN,mf
BANJARA (Muslim),"RANGREZ, MEKRANI, KHAN, MAKRANI",mf_shadi_jeevansathi
BELDAR (Muslim),MUSLIM BELDAR,mf_jeevansathi
BHANGI (Muslim),"MALKANA, MEHTAR, HALALKHOR",mf
BHILALA (Muslim),MUKATIB,mf
BRAHMAN (Muslim),SAIFI,mf
CHIKWA (Muslim),"QASSAI, CHIKWA QASSAB, QURAISHI",gov
DEKKANI MUSLIM (Muslim),DEKKANI MUSLIM,gov
DHIMAR (Muslim),"BHISTI, BHATIYAR, DOGARWAR, SHEIKH-ABBASI",mf
FAKIR (Muslim),"FAKIR BHANDARWALA, ALVI, MIYAN, KHAN, SAIN, FAKIR, FAKIR INCLUDING ALVI-FAKIR, MANIHAR, FAQIR, FAKEER, SHEIKH",mf
GAWLI (Muslim),MUSLIM GAWLI,gov
GHUMAIR (Muslim),KHAN,mf
GORI (Muslim),KHAN,mf
GUJJAR (Muslim),"GUJAR, KHAN, GUZAR, GUJJAR(MUSLIM)",mf_jeevansathi
JAT (Muslim),MALIK,mf_shadi_jeevansathi
JULAHA (Muslim),"JULAYA, JULAHA, JULAHE, JULAHA-MOMIN, MOMIN-ANSARI, JULAHA-ANSARI, MOMIN, ALI",mf_jeevansathi
KASAI (Muslim),"QASSAB-QURESHI, ARE KASAI, KASAB, QUASAB, KASSAB QUSSAB, KASAI-QURAISHI, KASABI, QURAISHI, QASSAB",gov
KHAN (Muslim),"PATHAN, KHAN",mf
KHATI (Muslim),"KASAB, QURESHI",mf
KHOTTA MUSLIM (Muslim),KHOTTA MUSLIM,gov
LOHAR (Muslim),"LUHAR SAIFI, SHER, SAIFI",mf_jeevansathi
MAJHI (Muslim),PATNI MUSLIM,mf
MAL MUSLIM (Muslim),MAL MUSLIM,gov
MALIK (Muslim),"VAJIR, SAYYAD, MALIK",mf
MANG (Muslim),MADARI,mf
MANSUR (Muslim),"MANSUR, KHAN",mf
MOMIN (Muslim),"JULAHA, ANSAR, MOMIN",mf
MUCHI (Muslim),CHAMAR MUSLIM,gov
MUGHAL (Muslim),"MUGHAL, BEG",mf
MUSKHAN (Muslim),MUSKHAN,gov
MUSLIM (Muslim),"MUSLIM, MUJAHID, SHAIK, LABBAI, DUDEKULA, BOHRA, MULLA, JAMAN, SHEIKH, RABBAI, PATHAN, SAYED, RAVUTHUR, NADAF, RAWTHER, SUNNI, QURESHI, MAPPILLA",mf
MUSLIM BARUJIBI (Muslim),MUSLIM BARUJIBI,gov
MUSLIM BHANGI (Muslim),"MUSLIM RELIGION BHANGI, LALBEG, KHAKROB, MEHTAR, HALALKHOR",gov
MUSLIM BHATIYARA (Muslim),MUSLIM BHATIYARA,gov
MUSLIM BISWAS (Muslim),MUSLIM BISWAS,gov
MUSLIM CHUTOR MISTRI (Muslim),MUSLIM CHUTOR MISTRI,gov
MUSLIM DAFADAR (Muslim),MUSLIM DAFADAR,gov
MUSLIM DARJI (Muslim),"OSTAGAR, MUSLIM DARJI, SIDDIQUI, IDRISHI",gov
MUSLIM DHOBI (Muslim),"SULEMANI, MIYAN, ALI, KASSAR, SHEIKH, KHAN, SIDDIQUI, IDRISHI, BAKSH",gov
MUSLIM GUJAR (Muslim),HASHMI,gov
MUSLIM HALDAR (Muslim),MUSLIM HALDAR,gov
MUSLIM HALWAI (Muslim),ALI,gov
MUSLIM JAMADAR (Muslim),MUSLIM JAMADAR,gov
MUSLIM KALANDAR (Muslim),MUSLIM KALANDAR,gov
MUSLIM KAYASTHA (Muslim),MUSLIM KAYASTHA,gov
MUSLIM LASKAR (Muslim),MUSLIM LASKAR,gov
MUSLIM LOHAR (Muslim),ALI,gov
MUSLIM MADARI (Muslim),"JADOOGAR, SAAPWALE, GAARUDI",gov
MUSLIM MALI (Muslim),MUSLIM MALI,gov
MUSLIM MANYAR (Muslim),"MUSLIM MANYAR, MANIYAAR, MANERI",gov
MUSLIM MOLLA (Muslim),MUSLIM MOLLA,gov
MUSLIM NAI (Muslim),"SULEMANI, BALWAR, TURKATA",gov
MUSLIM NEHARIYA (Muslim),MUSLIM NEHARIYA,gov
MUSLIM PENCHI (Muslim),MUSLIM PENCHI,gov
MUSLIM PIYADA (Muslim),MUSLIM PIYADA,gov
MUSLIM RAJMISTRI (Muslim),MUSLIM RAJMISTRI,gov
