Caste,subcastes,source
ADIWASI,"['BHENIL', 'GOND', 'DHIMAR', 'BINJHWAR', 'KANWAR', 'BHILALA', 'SIDAR', 'BHEND', 'HANDSA', 'HEMRAM', 'KHAN', 'BHENA', 'NAGARCHI', 'DHANWAR', 'GOARI', 'MARANDI', 'ADIWASI', 'SARTHI']",mf
AHIR,"['BARGAH', 'THETHWAR', 'AYAR', 'LALHARIA', 'GAWALI', 'RAO', 'TURI', 'BRAJWASI', 'TELI', 'RAWAT', 'BAGDE', 'SHAH', 'LINGAYAT-GAOLI', 'RAUT', 'GURJAR', 'BERICHA', 'GOP', 'GWARA JADAV', 'GAWARI', 'SONWANI', 'BHARVAD', 'YADAV', 'KUMAWAT', 'AHIR', 'KHANNA', 'ASKE', 'WANJARE', 'NAGARCHI', 'GOPAL', 'SISODIA', 'NARNAVRE', 'GOWRA', 'GOLI', 'RATHORE', 'SAHU', 'BARGAHI', 'JAMRE', 'GWARA', 'JADAV', 'RAI', 'SORATHA', 'GAWLI', 'GWALA', 'RAUT THETHWAR', 'PALIWAL', 'GOWARI']",mf_jeevansathi
ANSARI,['ANSARI'],mf
BADHAI,"['BADHRIA', 'KHARADI', 'KHATI', 'DHEEMAN', 'MAGHIYA', 'BADAI', 'BADHAI', 'KHARADA', 'VISHWAKARMA', 'HARIJAN', 'TARKHAN', 'JANGRA-BRAHMIN', 'NISHAD', 'PANWARI', 'RAMGARHIA-SIKH', 'PANCHAL', 'SUTHAR', 'RAMGARHIA', 'CHOURSIA', 'BADHIRA', 'MISTRY', 'SHARMA', 'JANGADA', 'VISWAKARMA', 'TARKHAN.', 'BADHEI', 'BINDHANIA', 'CHAURASIA', 'BARHAI', 'JANGID', 'SUTRADHAR']",mf_jeevansathi
BANIYA,"['ASRATI', 'SINGLA', 'KANSAL', 'ORIYABANIYA', 'TUREHA', 'BANIYA', 'VARSHNEY', 'ORIYAMUNDA', 'SHAH', 'ARORA', 'CHOUDHARY', 'GUPTA', 'AGARAWAL', 'BARNAWAL', 'SINGHAL', 'YADAV', 'KHANDEL', 'GARG', 'JAISWAL', 'AGARWAL', 'KESARBANI', 'MODI', 'SUNARI', 'KESRI', 'MISTRY', 'GOYAL', 'KESHRWANI', 'SHARMA', 'BANSAL', 'SHAHU', 'SAHU', 'JINDAL', 'PADAIYACHI', 'RANA', 'AYODHABASI', 'JAIN', 'POWAR', 'GOEL', 'BANNIYAR', 'PALIWAL', 'MAHAJAN']",mf
BANJARA,"['SUGALI.', 'DHALIA', 'LAMAN BANJARA', 'DHURIYA', 'RANKI', 'MATHURA', 'MUKERI', 'LAMANI', 'DHALIA BANJARA', 'LABHANA', 'LAMBADE LAMBHANI CHARAN BANJARA LABHAN MATHURA LABHANI', 'BAMANIA BANJARA', 'SUKALI', 'RAVANA', 'LAMBARA', 'BALADIA', 'BANJARI', 'RANGREZ', 'BANJARI GOAR BANJARA LAMBADA', 'MAKRANI.', 'GORMATI', 'MATHURA LABHAN', 'MATHURA BANJARA KACHIKIWALE BANJARA LAMAN BANJARA LAMAN', 'MEKRANI', 'GAMETIA', 'LABHANA LABAN', 'NAVI BANJARA', 'NAYKADA', 'LAMNE', 'LAMAN', 'LAMBANI', 'RATHOR', 'LAMANI LABAN DHALI', 'LABANA', 'SUGALI', 'BANJARA', 'KUMAWAT', 'DHADI', 'LAMBADA', 'KHAN', 'LAMBADI', 'MAKRANI', 'LABAN', 'BANJARI MATHURA', 'LAMBARA LAMBHANI', 'RANKIA', 'MANSURI', 'JOGI BANJARA', 'LAMBANA', 'CHANDWAR', 'KACHIRIWALA BANJARA', 'VAISHNAV', 'BAMANIA BANJARA LAMAN', 'NAYKADA LAMBANA', 'MATHURA BANJARI', 'NAYAK', 'CHADAWA', 'DHARI SINGARI NAVI BANJARA']",mf_shadi_jeevansathi
BELDAR,"['BHATI', 'SUNKAR', 'MUSLIM BELDAR', 'OD', 'TAWAR', 'BELDAR']",mf_jeevansathi
BHANGI,"['BHANGI', 'LALBEGI', 'BALMIK', 'BARWASIA', 'RUKHI', 'RUSHI', 'ZADMALLI', 'ZAMPDA', 'BAKSHI PANCH', 'UPADHAYAY', 'JAMPHODA', 'OLGANA', 'BARWASHIA', 'CHURA', 'VALMIKI', 'BALMIKI', 'DHARKAR', 'KORAR', 'MALKANA', 'HELA', 'ZAMPADA', 'MEHTAR', 'HALALKHOR']",mf
BHILALA,"['SETIA', 'NARGESH', 'BAKAULEY', 'SHAITE', 'BAGHEL', 'JHHILA', 'MORI', 'GWALE', 'BHEL', 'WAGE', 'RAWAT', 'DODWAL', 'VARMAN', 'ROMDADE', 'MUKATIB', 'SOLANKI', 'SONAR', 'DAMAR', 'BHURIYA', 'RATHOR', 'WASKALE', 'GANGWAL', 'BALKEY', 'SAITEY', 'MALVIA', 'YADAV', 'BHILALA', 'AKOLIYA', 'AWASE', 'KHANNA', 'BHAGE', 'CHAUHAN', 'ASKE', 'JILVE', 'DHILE', 'KHARTE', 'MUDALJE', 'NIHAL', 'KHATIYA', 'NINGWAL', 'JAMRE', 'KOLH', 'TADWLA', 'MANKOLI', 'DWAR', 'GORE', 'BADDLE', 'NARGAVE', 'KUSHWAHA', 'BHILA LA', 'BHEW', 'MANDOLI', 'DORWAR', 'DARBAR', 'KANASHE', 'CHONGAR', 'MOZALDA']",mf
BRAHMAN,"['SAMANTA', 'TRIVEDI', 'PRAJAPATI', 'HAVASALA', 'BRHAMIN', 'PUROHIT', 'PACHORI', 'CHATURVEDI', 'SAIFI', 'SOLANKI', 'DEVILA', 'OTHERS', 'SHUKLA', 'BHARADWAJ', 'DEWEDI', 'VAIDHIKA', 'DADHICH', 'PAREEK', 'VISHVA S', 'MAHA-BRAHMAN', 'DUBEY', 'HAVJAK', 'AUDICH', 'IYYAR', 'VAIDIK', 'DANUA', 'RAJGOR', 'SIDHANTHI', 'IYANGAR', 'HAUYAK', 'SAMRATH', 'AYYANGAR', 'MOHABRAHMAN', 'VAISHNAV', 'VASSIST', 'NAYAK', 'PALIWAL', 'BRAHAMIN', 'GAUTAM', 'RAJPUROHIT', 'KHATI', 'GOSWAMI', 'UPADHYAY', 'MAHANT', 'BHATT', 'BESNAB', 'SANYAL', 'DIXIT', 'BHARGAV', 'OJHA', 'AYAN', 'RAMPAL', 'BRAHIMAN', 'TRIPATHI', 'GOGNA', 'BAJPAI', 'BALABHADRA', 'CHASA', 'DESHASTHA', 'SASANI', 'ACHARYA', 'BAIRAGI', 'THAKUR', 'PARDESI', 'SONI', 'DEVEDI', 'TYAGI', 'UPADHAYA', 'GIRI', 'ATRI', 'HAVYAKA', 'JOSHI', 'PUJARI', 'IYER', 'BAKSHI PANCH', 'PANDEY', 'GOSAWMI', 'VAISHNA V', 'BANJARA', 'KAUSHIK', 'RAMGARHIA', 'BHATTAMISHRA', 'KAIBARTA', 'SANDILYA', 'KRUSHMAPAKSHI', 'VYAS', 'TAPODHAN', 'BRHAMAN', 'TURKHAN', 'GANDHARU', 'DWIVEDI', 'JHANGRA BRAHMAN', 'ADHIT', 'RAI', 'RARHI', 'DAKHINORIYA', 'AJER', 'SARASWATI', 'GAUR', 'MISHRA', 'BRAHMAN', 'BAISNAB', 'SHRMA', 'BARENDRA', 'SARASWAT', 'MUDGIL', 'UPADHAYAY', 'KOTTA', 'BRAHAMAN', 'PATHAK', 'AGNIHOTRI', 'PORASA', 'KUTCHHI', 'CHAUBEY', 'VASUDEV', 'SWAMI', 'DHIMAN', 'AADISAIVER', 'SHARMA', 'BAJPAYEE', 'JADURBADE', 'BRAHMIN', 'LOHAR', 'TIWARI', 'VAID', 'AWASHTHI', 'BHARATI', 'MAHAJAN']",mf
