Caste,subcastes,source
AARAKH,"['MOOTHI', 'YADAV', 'AARAKH', 'ARAKVANSHIYA', 'ARAKH']",mf
ABBASI,"['ABBASI', 'BHISHTI', 'SAKKA']",gov
ABDAL,['ABDAL'],gov
ABLAKAROR,['ABLAKAROR'],mf
ABOR,['ABOR'],gov
ACHARI,"['ACHARI', 'VISHWAKARMA', 'ACHARY', 'OSAMANI', 'KONGU VELLALA', 'ACHARYA', 'PRAJAPATI', 'ACHAGAR']",mf
ACHUKADAVANDLUIN,['ACHUKADAVANDLUIN'],gov
ADI ANDHRA,"['ADIANDRA', 'ADI ANDHRA']",jeevansathi
ADI DHARMI,"['AD DHARMI', 'JASSAL', 'BANGA', 'LEEL', 'SANDHU', 'CHAMAR', 'KAITH', 'ADI-DHARMI', 'AD-DHARMI', 'THIND', 'SIDHU', 'MEHTO', 'MAHI', 'ADI DHARMI', 'CHOKHRIA', 'BAINS', 'RAI', 'ATAR', 'POWAR']",gov
ADI DRAVIDA,"['UPPARA', 'PARAYAR', 'SAMABAVAR', 'VANNAN', 'THACHAR', 'THOMBAR', 'PANDITAR', 'PARAYA', 'ARAVDUR', 'PALLAR', 'HARIJAN', 'PATTARAJU', 'CHALAVADI', 'SAKKELIAR', 'MURUTHUAR', 'KURAVAR', 'KUAVAR', 'VALAYAR', '.PALLAR', 'POLLAR', 'NADAR', 'ASARI', 'MARUTHAVARI', 'ADI DRAVIDA', 'PORAYA', 'PALAR', 'ADIDRAVIDA', 'BARBAR', 'ATHIDRAVIDA', 'PADAIYACHI']",mf_shadi_jeevansathi
ADI KARNATAKA,"['HALAKI', 'MADIGA', 'HARIJAN', 'CHANAIAHNATHA', 'HOLAYA', 'GANGEMATA', 'KORAMA', 'HOLER', 'HOLEYA', 'MOCHI', 'ADIKARNATAKA', 'ADI KARNATAKA', 'MEDAR', 'HOLIYA', 'GOWNDAR', 'MUGGUDAVAR', 'KORUR']",jeevansathi
ADIWASI,"['BHENIL', 'GOND', 'DHIMAR', 'BINJHWAR', 'KANWAR', 'BHILALA', 'SIDAR', 'BHEND', 'HANDSA', 'HEMRAM', 'KHAN', 'BHENA', 'NAGARCHI', 'DHANWAR', 'GOARI', 'MARANDI', 'ADIWASI', 'SARTHI']",mf
ADIYAN,"['ADIYAN', 'ADIYA']",gov
ADRAKHI,['ADRAKHI'],gov
AENTELUR,"['ROMAN CATHOLIC', 'AENTELUR']",mf
AGAMUDIYAS,"['THOZHU', 'PILLAI', 'THULUVA VELLALA', 'AGAMUDAYAR', 'SAYUP', 'AGAMUDIYAS', 'AGAMUDIYAR']",gov
AGANARW,"['AGANARW', 'KAMARED']",mf
AGARIYA,['AGARIYA'],gov
AGARU,['AGARU'],gov
AGASA,"['AGA SA', 'AGASA', 'DOBI']",mf
AGER,['AGER'],gov
AGHARIA,"['AGHARIA', 'AGARIA', 'AGHRIA.']",gov
AGHORI,"['KARKARMUNDA', 'AGHORI']",gov
AGNANI,['AGNANI'],gov
AGNIKULAKSHATRIYA,"['GOONDLA', 'NEYYALA', 'GANGAPUTRA', 'VADABALIJA', 'JALARI', 'VANYAKULAKSHATRIYA NEYYALA', 'GANGAVAR', 'VANYAKULAKSHTRIYA', 'BESTHA', 'PATTAPU', 'PALLI', 'AGNIKULAKSHATRIYA']",gov
AGRI,"['KHARWAL', 'KALAN', 'AGRI', 'AGALE']",jeevansathi
AGRIA,['AGRIA'],gov
AGURI,"['ADITYA', 'ANGROR', 'PHULAKATAMALI', 'BALGORI', 'AGURI']",mf
AHERI,"['THORI', 'HERI', 'AHERIYA', 'AHORI', 'NAIK THORI', 'NAIK', 'AHERI', 'AHERIA', 'TURI']",gov
AHIR,"['BARGAH', 'THETHWAR', 'AYAR', 'LALHARIA', 'GAWALI', 'RAO', 'TURI', 'BRAJWASI', 'TELI', 'RAWAT', 'BAGDE', 'SHAH', 'LINGAYAT-GAOLI', 'RAUT', 'GURJAR', 'BERICHA', 'GOP', 'GWARA JADAV', 'GAWARI', 'SONWANI', 'BHARVAD', 'YADAV', 'KUMAWAT', 'AHIR', 'KHANNA', 'ASKE', 'WANJARE', 'NAGARCHI', 'GOPAL', 'SISODIA', 'NARNAVRE', 'GOWRA', 'GOLI', 'RATHORE', 'SAHU', 'BARGAHI', 'JAMRE', 'GWARA', 'JADAV', 'RAI', 'SORATHA', 'GAWLI', 'GWALA', 'RAUT THETHWAR', 'PALIWAL', 'GOWARI']",mf_jeevansathi
AHIRGOALA,['AHIRGOALA'],gov
AHOM,['AHOM'],jeevansathi
AILCEEJ,['AILCEEJ'],mf
AIMOL,['AIMOL'],gov
AJILA,['AJILA'],gov
AKA,['AKA'],gov
ALIA,"['GOPALPURIA', 'ALIAL', 'ALIA']",gov
ALITKAR,['ALITKAR'],gov
ALWAR,"['ALWAR', 'AZHAVAR', 'ALAVAR']",gov
AMANT,"['AMAT', 'AMAAT', 'DANDACHHATRA MAJHI', 'AMANT']",gov
AMBALAKARAR,"['AMBALAKARAN', 'AMBALAKARAR', 'MOOPANAAR', 'AMBALAM', 'AMBALAAR', 'AMBALAKKARAN']",gov
AMBALAVASI,"['AMBALAKARAN', 'AMBALAVASI', 'AMBALAKARMA']",jeevansathi
AMBATTAN,['AMBATTAN'],mf
AMBIGA,"['AMBIGAR', 'AMBIGA']",mf
AMMA KODAVA,['AMMA KODAVA'],jeevansathi
AMMALAM,['AMMALAM'],mf
ANAL,['ANAL'],gov
ANAMUK,['ANAMUK'],gov
