Caste,Subcastes
Ad Dharmi,
Adi Andhra,
Adi Dravida,
Adi Karnataka,
Agamudayar,
Agri,
Ahir,
Ahir,['Ahir shimpi']
Ahirwar,
Ahom,
Ambalavasi,
Ambalavasi,['Pisharody']
Ambalavasi,['Poduval']
Amma Kodava,
Arakh Arakvanshiya,
Arekatica,
Arunthathiyar,
Arya Vysya,
Ayyaraka,
Badaga,
Badhai,
Bagdi,
Baghel Gaderiya,
Bahi,
Baidya,
Bairwa,
Baishnab,
Baishya,
Baishya,['Saha']
Baishya Kapali,
Bajantri,
Balai,
Balija,
Balija,['Balija Naidu']
Balija,['Balija Reddy']
Balija,"['Ediga', 'Goud (Balija)']"
Balija,"['Gajula', 'Kavarai']"
Balija,['Kapu']
Balija,['Kavara']
Balija,['Linga Balija']
Balija,['Modikarlu']
Balija,['Munnuru Kapu']
Balija,['Musukama']
Balija,['Namdarlu']
Balija,['Pagadala']
Balija,['Perika']
Balija,['Setti Balija']
Balija,['Surya Balija']
Balija,['Telaga']
Balija,['Thota']
Balija,['Vada Balija']
Balija,['Velama']
Balija,['Waada Balija']
Balija Naidu,
Balija Naidu,['Balija Naidu']
Balija Naidu,['Balija Reddy']
Balija Naidu,['Setti Balija']
Balija Naidu,['Surya Balija']
Balija Naidu,['Vada Balija']
Balija Naidu,['Waada Balija']
Banayat Oriya,
Bania,
Bania,['Agarwal']
Bania,['Agrahari']
Bania,['Asathi']
Bania,['Ayodhyavasi']
Bania,['Baniya Kumuti']
Bania,['Barnwals']
Bania,['Bisa Agarwal']
Bania,['Chaturth']
Bania,['Choudharys']
Bania,"['Dosar', 'Dusra']"
Bania,['Gahoi']
Bania,['Gandha Vanika']
Bania,['Gulahre']
Bania,['Jaiswal']
Bania,['Kalwar']
Bania,"['Kandu', 'Kanu']"
Bania,['Kanojia Kanu']
Bania,['Kanykubj Bania']
Bania,['Kasaundhan']
Bania,"['Keshris', 'Kesarwani']"
Bania,['Khandelwal']
Bania,['Komti Arya Vaishya']
Bania,['Lad']
Bania,"['Madhesiya', 'Kawa', 'Halwai']"
Bania,['Mahajan']
Bania,['Mahawar']
Bania,"['Maheshwari', 'Meshri']"
Bania,['Mahor']
Bania,['Mahuri']
Bania,['Marwari']
Bania,['Modh Ghanchi']
Bania,['Modi']
Bania,['Nema']
Bania,['Oswal']
Bania,['Padmavati Porwal']
Bania,['Patwa']
Bania,"['Porwal', 'Porwar']"
Bania,['Rastogi']
Bania,['Rathi']
Bania,['Rauniars']
Bania,['Rauniyar']
Bania,"['Shaw', 'Sahu', 'Teli']"
Bania,['Sinduriya']
Bania,"['Sudi', 'Suri', 'Sundhi', 'Shaundik']"
Bania,"['Ummar', 'Umre', 'Bagaria']"
Bania,['Vaishnav']
Bania,"['Vani', 'Vaishya']"
Bania,['Varshneys']
Bania,['Vijayvargia']
Banik,
Banjara,
Banjara,['Lambani']
Barai,
Bari,
Baria,
Beldar,
Besta,
Bhajantri,
Bhatia,
Bhatraju,
Bhavsar,
Bhil,
Bhovi,
Bhoyar,
Bhulia,
Billava,
Bishnoi,
Bondili,
Boyer,
Brahmakshatriya,
Brahmbatt,
Brahmin,
Brahmin,['6000 Niyogi']
Brahmin,['Anavil']
Brahmin,['Andhra']
Brahmin,['Audichya']
Brahmin,['Audichyasahastra']
Brahmin,['Bajkhedwal']
Brahmin,['Bardai']
Brahmin,['Barendra']
Brahmin,['Bengali']
Brahmin,['Bhargava']
Brahmin,['Bhatt']
Brahmin,['Bhumihar']
Brahmin,['Brahacharanam']
Brahmin,['BrahmBhatt']
Brahmin,['Brajastha Maithil']
Brahmin,['Chittpavan Kokanastha']
Brahmin,['Dadhich']
Brahmin,['Daivadnya']
Brahmin,['Danua']
Brahmin,['Deshastha']
Brahmin,['Devrukhe']
Brahmin,['Dhiman']
Brahmin,['Dravida']
Brahmin,['Dunua']
Brahmin,['Embrandiri']
Brahmin,['Garhwali']
Brahmin,['Gaud Saraswat (GSB)']
Brahmin,['Gaur']
Brahmin,['Gautam']
Brahmin,['Goswami']
Brahmin,['Gujar Gaur']
Brahmin,['Gujrati']
Brahmin,['Gurukkal']
Brahmin,['Halua']
Brahmin,['Havyaka']
Brahmin,['Hoysala']
Brahmin,['Iyengar']
Brahmin,['Iyer']
Brahmin,['Jangid']
Brahmin,['Jangra']
